,sku_file_price,Stock Qty,special_price,act_post,nsw_m_post,nsw_r_post,nt_m_post,nt_r_post,qld_m_post,qld_r_post,remote_post,sa_m_post,sa_r_post,tas_m_post,tas_r_post,vic_m_post,vic_r_post,wa_m_post,wa_r_post,Original_SKU
0,49.50,56.0,-1.0,8.0,8.0,10.0,24.0,31.0,11.0,16.0,26.0,8.0,16.0,8.0,11.0,4.0,8.0,17.0,28.0,AES-KB22K
1,93.20,200.0,83.9,9.0,8.0,11.0,25.0,32.0,12.0,17.0,28.0,8.0,17.0,9.0,11.0,4.0,9.0,18.0,30.0,AES-T001B
2,43.10,200.0,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AES-T002
3,32.50,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AES-T003
4,26.10,200.0,24.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AQ-SPH-6250
5,31.30,200.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AQ-SPH-6350
6,81.70,34.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AQUA-CFP-10000
7,136.50,200.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ba-tw-9076-BKX2
9,135.70,200.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ba-tw-9076-WHX2
11,130.50,80.0,-1.0,10.0,0.0,15.0,30.0,36.0,0.0,16.0,27.0,0.0,20.0,0.0,15.0,0.0,10.0,0.0,33.0,ba-tw-T7009-Black-X2
12,33.00,200.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BC-HC-20A
13,42.60,19.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-HZ7-002-1-BK
14,33.00,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASE-HZ8-040-BK
15,45.20,200.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Case-MU-HZ7002-BK
