,Asin,title,previous,today,rating_increased
0,B07BS26BWW,"IEOKE Pant Hangers, Skirt Hangers with Clips Metal Trouser Clip Hangers for Heavy Duty Ultra Thin Space Saving (20pack)",2495,2497,2
1,B08SM2X3FN,"[2 Pack] Under Desk Cable Management Tray for Clutter-Free Wire Management, Metal Wire Cable Tray for Offices and Home (Black)",0,0,0
2,B081MQF3JR,"Mountify Dual LCD/LED Monitor Desk Mount Stand Heavy Duty Fully Adjustable fits 2 Screens up to 27"" (Stand M-001D)",64,64,0
3,B08BL8RGQV,20pcs Wooden Clothes Hangers Coat Pant Suit Coathangers Rack Wardrobe,12,12,0
4,B09GK9VNLP,"CPU Holder Under Desk Mount - Adjustable Wall PC Mount with 360° Swivel, Heavy Duty Computer Tower Holder Holds up to 22lbs",0,0,0
5,B08C34WBXM,"Mountify Single LCD/LED Monitor Desk Mount - Tray for Laptop/Notebook - Fully Adjustable Stand - up to 15 inch Laptop Holder - 1 Monitor Screen up to 27"" (M-001LP)",15,15,0
6,B08MVLZDDN,Mountify Laptop Tray Desk Mount for 1 Laptop or Notebook up to 17 inch| Fully Adjustable | 22 lbs Capacity | Vented Cooling Platform Stand,6,6,0
7,B08XWXM4L1,VYND Clamp-On Keyboard and Mouse Pull Out Drawer | Ergonomic with Wrist Support Included | Large (68cm x 29cm),7,7,0
8,B09G17WC9S,"Mountify Tall 39” Dual LCD/LED Monitor Desk Mount Stand Heavy Duty Fully Adjustable fits 2 Screens up to 27""",2,2,0
9,B08PKDC6XJ,"Bemorergo Universal VESA Mount Adapter Kit Convert Non VESA Monitor Arm Mounting Screens,VESA Mount Bracket Adapter Fit Most 17-32 Inch Screen VESA 100x100,Fast Quick Installation",4,4,0
10,B09GK3RCJF,Adjustable Height Active Learning Stool | Padded Office Desk Chair with 360° Tilting Motion | Black,0,0,0
